U10,V10,U100,V100,WINDPOWER
1.205572031,-2.417912523,1.467826601,-2.956134264,0.268101299
0.981127305,-1.577625041,1.149138708,-1.937050934,0.034542253
0.613250446,-1.011186952,0.697428336,-1.260735387,0.020621359
0.242717437,-0.746707212,0.262133504,-0.956474744,0.001867149
-0.138440174,-0.501392671,-0.167500797,-0.691805949,0.015173538
-0.65594685,-0.340830897,-0.779404195,-0.504151435,0.012904598
-1.357613301,-0.205396828,-1.631880159,-0.389714722,0.022311247
-2.276198717,-0.500114991,-2.851158531,-0.81003914,0.014925373
-2.639648658,-0.613828503,-4.823853575,-1.536251263,0.096465416
-3.158040717,-1.380862336,-6.285402672,-3.2262266,0.28444476
-3.056664303,-2.334437436,-5.92312869,-5.041485731,0.46289928
-2.517908422,-2.985628292,-4.617810247,-6.37893091,0.594852342
-2.16906731,-3.888522089,-3.482873787,-7.959893075,0.505560086
-1.930899139,-4.885538305,-2.945689398,-9.289202944,0.616560901
-1.684762517,-5.417479037,-2.553980655,-9.947078452,0.825197055
-1.678564832,-5.573355985,-2.528508265,-10.17052834,0.97456896
-1.950820269,-5.239455638,-2.958142566,-9.763220416,0.944162796
-2.245210294,-4.923868702,-3.41381531,-9.332591271,0.898583094
-2.318697127,-4.979660724,-3.517403026,-9.356997205,0.96190071
-1.945507967,-5.265861022,-2.801345858,-9.743695669,0.950662365
-1.269517639,-5.618074782,-1.544707982,-9.596175357,0.949137921
-0.311975347,-5.741583839,-0.110895487,-8.884064441,0.881128798
1.036906467,-6.090816345,1.518205327,-8.261984302,0.910081422
2.67840754,-5.948142089,3.58203492,-7.821592783,0.9172664
2.570394814,-5.871316539,3.366600123,-7.643401337,0.74157715
2.712679234,-4.726512939,3.466064085,-6.065186269,0.43029508
2.630794753,-3.793161796,3.286303696,-4.826383803,0.198863166
2.758891267,-3.023897758,3.417368187,-3.87881234,0.078112998
3.055621169,-2.18654603,3.766528137,-2.866463393,0.074544144
3.495040859,-1.251926172,4.384033567,-1.675307176,0.026707319
4.616696102,3.917240582,5.934013639,5.234469586,0.120702899
3.79825666,7.447227892,5.230513326,10.5044659,0.381371054
3.364917501,6.488925359,4.700556904,9.507106785,0.785656043
2.993194386,5.831308219,4.422368635,9.17144164,0.922950568
2.045442324,4.707649865,3.127264965,7.715821975,0.842285012
1.25943238,4.132922088,1.89743452,7.072865293,0.804575696
0.233444155,3.519287058,0.187897675,6.528413216,0.625435767
-1.251826828,2.821493952,-2.115314692,5.629558704,0.482327082
-2.175662136,2.306818672,-3.665294765,4.779421143,0.22781579
-2.584679172,1.97949027,-4.430960055,4.247282141,0.387279753
-2.538467138,1.592955179,-4.626261688,3.843627405,0.474645774
-2.163095705,0.898968216,-4.293161024,3.201741425,0.645844412
-2.415640417,0.743762113,-4.602949822,3.014368537,0.377790383
-1.890687927,-0.450521362,-3.87510156,1.064084448,0.719194999
-3.003830426,-0.183245457,-4.860416432,1.046953212,0.575164557
-3.068689421,0.80973528,-4.879583966,1.88103024,0.605594356
-3.312316021,0.29675162,-4.632478186,0.576914939,0.381453776
-3.693767984,-0.331262176,-4.634550352,-0.564988976,0.391309486
-2.516981784,-2.325414196,-2.967762182,-3.074183343,0.398671725
-0.47098081,-2.948659747,-0.410804733,-3.759093136,0.407782938
1.771907547,-3.628444451,2.228453166,-4.604161405,0.288923553
1.682378048,-3.391330637,2.145682426,-4.276738447,0.159511232
1.731987467,-2.878533665,2.162612805,-3.624078995,0.027120927
1.709895773,-2.41920783,2.153207039,-3.036466842,0
0.992109487,-2.083479214,1.381934239,-2.524834306,0.013058224
0.138284871,-1.091633447,0.309676931,-1.379127262,0.193060824
-0.41594536,0.622072674,-0.456422698,0.65647056,0.504508337
-0.633374144,1.580170265,-0.878741585,2.964829745,0.454768911
0.590583249,3.310969618,0.873552594,6.306839702,0.395268314
1.241319304,4.734529076,1.723833828,7.761931379,0.430897768
1.49246699,4.9164186,2.107118786,7.721481798,0.27776793
2.666039816,5.17413195,3.727261955,7.687591609,0.208187093
3.078418114,5.217522463,4.304775979,7.624730774,0.515226717
2.370708741,4.710861523,3.289893843,7.083034361,0.678070455
2.123824365,4.31070457,2.951286272,6.798794063,0.613299299
1.823454834,4.504866158,2.449958952,6.630982965,0.289325345
1.375419766,4.507934174,1.832470423,6.573041673,0.234468985
0.821577108,4.42509774,1.044737533,6.366420842,0.195046147
0.400672191,4.493032382,0.430541022,6.097485791,0.153378003
0.05611927,4.517138223,-0.027990063,5.855881538,0.1562969
-0.191152679,4.582881424,-0.352488985,5.807232718,0.263693409
-0.313625933,4.553077839,-0.510505852,5.695176447,0.258990085
0.482244124,4.127172579,0.496999272,5.086193831,0.187601186
0.524786858,4.093111992,0.544609696,5.023556745,0.166672575
0.627531573,4.04396743,0.659583807,4.953014009,0.180640739
0.851482945,4.129118898,0.928532056,5.073423163,0.140686118
1.039714475,4.284337861,1.142272473,5.295389532,0.120123846
1.049346792,4.480429529,1.134675065,5.580601114,0.129648669
0.776431141,4.672141978,0.767973497,5.885272762,0.314224601
0.33053513,4.625430315,0.18601203,5.922368511,0.422873755
-0.452090631,4.271686786,-0.848754963,5.755133575,0.533342787
-1.915400133,3.160338476,-3.573692029,5.222414288,0.583767623
-3.759587504,2.900018272,-6.287992723,4.624625407,0.595797733
-3.924139588,2.706359504,-6.330538209,4.296844932,0.656243722
-3.404395813,2.165282743,-5.708563726,3.602971979,0.621583295
-2.898699167,1.663132369,-5.216251676,2.954708554,0.717150589
-2.861775284,1.294304865,-5.324641366,2.418948632,0.785608773
-2.85535374,1.004303292,-5.478109011,1.947042048,0.749849328
-2.681570686,0.893363093,-5.256264693,1.711088757,0.791919264
-2.456816621,0.98094746,-4.919446264,1.900824393,0.69652923
-2.312331865,1.007709351,-4.624666826,2.044950502,0.637903121
-2.643442764,0.787775272,-4.949329402,1.699534343,0.606161591
-3.231816798,0.532320866,-4.921978733,0.893157887,0.536852554
-3.445734507,0.670022955,-4.513744667,0.769708098,0.405183111
-3.257502977,0.478310506,-4.090822279,0.466860832,0.348164167
-2.26296624,0.376128744,-2.744055056,0.296585261,0.244596495
-1.672121738,0.032659685,-1.929674605,-0.121708252,0.070857116
-0.353236281,0.595486876,-0.339578123,0.587455504,0.001418088
0.680131701,1.470532606,0.931672425,1.61389172,0
1.393458854,2.478062762,1.753586388,2.864184446,0.006535021
1.708367833,3.347086473,2.094869628,4.005681769,0.019321445
1.898246284,4.120221108,2.299167208,5.069142598,0.039245577
1.788611306,4.947553916,2.105497826,6.25279102,0.084789828
1.607130428,5.778592582,1.84510698,7.583968287,0.261908982
2.050335657,5.824452576,2.550701223,8.145603197,0.426868035
0.779502979,4.460233583,0.736231676,7.262708561,0.877240874
-3.31524681,4.203602914,-5.327745624,6.46696417,0.890629985
-4.449852197,3.247954771,-6.714725436,4.895411718,0.718722303
-4.593077466,2.408577924,-7.079626894,3.83081167,0.734096737
-4.699913253,1.540017445,-7.534868033,2.689883957,0.740891741
-4.944375927,1.048064789,-8.094029329,1.969897621,0.666170336
-5.395512197,0.747890288,-8.803166304,1.473198187,0.864029024
-5.663767994,0.544068096,-9.217075563,1.142255101,0.882877773
-5.883971013,0.219805517,-9.539464229,0.613657539,0.867916947
-6.092977269,-0.305499861,-9.88074747,-0.268097879,0.891729003
-6.307115374,-0.887319574,-10.1558997,-1.267192841,0.958379126
-6.751253667,-1.476087771,-10.4540797,-2.285654524,0.93915222
-6.704133953,-1.973135981,-9.275530651,-2.842732559,0.782228998
-6.539914753,-2.565146803,-8.664999733,-3.560440457,0.735065764
-5.908230668,-3.126121065,-7.616941339,-4.249098273,0.578473429
-4.588609214,-3.51710207,-5.727145376,-4.650712982,0.501471266
-2.898260815,-3.688289616,-3.446380484,-4.774075477,0.427612531
-1.13306121,-3.552304016,-1.148388342,-4.510067818,0.240566762
0.39866212,-3.005468304,0.709693658,-3.753206134,0.103662212
1.26465586,-2.495763412,1.694723222,-3.108383816,0.107065622
1.935838186,-1.982200773,2.442878093,-2.507662101,0.090202196
2.565877135,-0.840307505,3.181804081,-1.168553278,0.219638151
2.47318061,0.619367716,3.117817151,0.624076603,0.096749034
1.027213959,1.4531234,1.831310707,2.472130212,0.051405679
-1.289703467,1.530278351,-2.209094755,2.511463182,0
-3.379093057,-0.354231316,-6.656801634,-0.868788374,0.171541343
-4.040361317,-2.049711354,-7.233299261,-4.210302915,0.453977145
-4.04531835,-3.14290056,-6.865989674,-6.104244989,0.597239456
-3.879753434,-3.916378939,-6.320870253,-7.364687874,0.645336264
-3.513924367,-4.71396824,-5.508113193,-8.702604789,0.753512721
-3.083158162,-5.473462284,-4.590146854,-9.856371893,0.646813439
-2.779787716,-6.251762848,-3.97119636,-10.89154413,0.648196074
-2.081341705,-6.754234463,-2.94925126,-11.49047799,0.892000804
-0.10546818,-7.456826732,0.386682715,-12.37785362,0.953675802
0.820009961,-7.1448314,1.844231144,-11.45889242,0.965812269
0.953849864,-6.907097709,2.143246989,-10.79499957,0.948795216
2.019116348,-6.419574865,3.924421622,-10.04886506,0.961487101
3.020437101,-6.448025753,4.363101246,-8.999985876,0.946798076
5.193600557,-4.472376801,6.891200232,-6.050013168,0.892449865
3.980098521,-4.761627249,5.759662163,-6.690475338,0.955200246
4.102756607,-5.724934445,5.876667781,-8.233821534,0.968778436
3.191650435,-5.259592728,5.020019509,-7.915253945,0.933456234
4.790500972,-6.619822363,6.680185951,-9.001796973,0.993559518
6.260488928,-6.733552422,8.526009266,-9.2361717,0.986492715
6.437555659,-6.6451964,8.79762945,-9.363029865,0.992094161
7.238412734,-4.487043919,10.15871521,-6.52834719,0.993973127
5.756493057,-3.236919481,8.472879164,-4.922425217,0.988430768
5.155134348,-2.739860217,7.8287513,-4.208492494,0.985062809
4.879272972,-2.161694657,7.394755973,-3.309676796,0.926696683
4.369549875,-1.961421006,6.734509988,-3.008175327,0.504650146
4.361436305,-2.463917563,6.710034323,-3.424588676,0.453492632
4.612479703,-0.682297669,6.862261019,-0.584786165,0.333321516
5.004317402,1.748625712,7.221635416,2.861432507,0.298306567
5.121248262,2.368930299,7.133284236,3.669228894,0.367591969
4.217301123,1.228004842,6.504677524,2.259567311,0.613724726
4.534684886,0.841050776,6.788237057,1.501262674,0.715082545
5.360837208,0.789849594,8.170813641,1.364164837,0.688056156
5.858151315,0.683369259,9.020895271,1.17814412,0.663204169
6.408442261,0.72233653,9.394596887,1.165628964,0.757861524
6.909574519,0.50756343,9.699647247,0.767988348,0.885583957
7.088073056,0.110640992,9.657859526,0.17181186,0.931860886
7.349139099,0.013222814,9.802325646,0.01651016,0.974958935
8.676900948,0.985592166,11.49592226,1.289642776,0.987520828
8.533449435,0.208400474,11.51079866,0.256336704,0.991314213
10.22946812,-0.04381979,13.84596522,-0.092933555,0.997281999
10.48822759,0.812532806,14.2626712,1.234293429,0.986350906
9.637137776,1.93954865,13.13837157,2.635626451,0.996171163
9.568047238,1.60907032,12.9313628,2.132677278,0.990522447
9.560566097,2.116003143,12.90447854,2.768045436,0.99391404
8.913667428,2.188279701,12.23828665,2.963636781,0.988407133
8.557213059,2.443989178,11.81512845,3.388227931,0.987532646
8.079300165,2.915032952,11.4296082,4.115924922,0.992212335
7.153398941,3.192176167,10.49296069,4.710595502,0.992566857
6.485817118,2.950922001,9.676754648,4.491921949,0.984684653
5.742103682,2.867180886,8.597082889,4.436038707,0.653726616
5.653210123,3.185696199,8.454058642,4.864881843,0.312759244
5.48862502,2.801384295,8.529872246,4.42328275,0.665685823
5.433176563,2.130956913,8.516430118,3.491490442,0.741919854
5.339882333,1.977431535,8.210487274,3.23576387,0.725670933
5.119848772,1.768078747,7.806148049,2.915650085,0.710509212
4.601449703,1.523833827,7.107695053,2.570631811,0.663747769
4.186906474,1.668885402,6.407629002,2.777764261,0.682076553
3.795686803,1.827893829,5.887149788,3.120352828,0.563453516
3.817250092,2.130458454,5.430655104,3.249127254,0.416468725
4.343570369,2.238624062,5.729608042,3.069936425,0.418891292
4.692543597,2.706677081,6.135560322,3.617835162,0.296049444
4.755473195,2.780947475,6.147389395,3.684044654,0.306377849
3.621214327,1.766719438,4.55731229,2.268267336,0.352170265
4.29718397,1.451918337,5.376211001,1.839225937,0.406388485
5.20235932,1.550262794,6.523868316,1.939537025,0.419056735
5.992307844,1.817621343,7.601077359,2.323861432,0.547310951
6.14871682,2.005414778,7.866882187,2.605457618,0.62700748
5.956533451,2.449200317,7.687513891,3.224244086,0.718651399
5.751870642,2.924120031,7.517138992,3.92823455,0.784994269
5.671586247,3.163309565,7.538123583,4.36090165,0.791919264
5.290963341,3.445493911,7.283810317,4.912612632,0.774323159
4.400763318,3.555699006,6.503383357,5.484264974,0.750310207
3.630781897,3.459331322,5.510612315,5.513874873,0.710190142
3.028440947,2.995778053,4.734682054,5.058849277,0.449971047
2.861216457,2.536672523,4.579795781,4.602615114,0.452263623
3.010137769,2.223354002,4.883572728,4.145776667,0.426643505
2.859552532,1.804278125,4.765659308,3.563247219,0.516632987
2.789251689,1.442528666,4.772654172,3.082237426,0.343768095
2.475601774,1.160344319,4.539325497,2.846566798,0.456576973
2.484337382,1.043714712,4.529332835,2.704560138,0.411694497
2.697319817,1.079296626,4.530831734,2.557114925,0.330828045
2.685256359,1.180112049,4.532330633,2.648966041,0.336134057
3.123700669,1.769190404,4.43939887,2.806079793,0.222899753
3.798006387,2.824292995,5.027467072,3.843634837,0.274801763
4.633712857,3.03185416,6.15014273,4.131878143,0.274033632
4.784714075,2.546062194,6.238078162,3.420636275,0.301343638
5.919387653,2.722594564,7.7804058,3.679916708,0.365547559
6.301111543,3.085571553,8.196714276,4.115608488,0.291948807
6.598962553,3.58556337,8.627446822,4.803542877,0.456801503
6.392348872,3.166432763,8.380248121,4.223166484,0.55785207
6.585051929,2.513703104,8.552839568,3.30755857,0.670140982
6.601417369,2.395555891,8.614514898,3.159598079,0.742309829
6.579324025,2.530773804,8.718467671,3.404196973,0.807400054
6.597326009,3.152506666,8.957210884,4.327994581,0.817373938
5.739367811,3.196081874,8.175326864,4.655582385,0.822171801
4.847451325,3.1763158,7.370563286,5.047595791,0.801195921
4.330712554,3.453939289,6.730930429,5.732800282,0.714668936
4.009540791,3.353761234,6.201218927,5.654179209,0.754647192
3.860615286,2.541555298,6.046035839,4.599346479,0.909963248
4.020996599,1.989902152,6.387737062,3.792388521,0.82431075
4.312301433,1.882985662,6.908993075,3.701209915,0.901088382
4.630609244,1.946776173,7.326793697,3.753077984,0.985145531
5.018470174,2.207328962,7.75702886,3.957274382,0.974639865
5.353961697,2.548293732,8.153939451,4.327448601,0.967230357
5.419014321,2.869941658,8.23302314,4.871790336,0.980761277
5.270497952,3.427434781,7.791348197,5.439609197,0.951135061
5.712773971,3.930121973,8.035562608,5.68530005,0.94346557
6.277381655,5.322731707,8.617499188,7.211313239,0.968612992
5.399375793,5.395956026,7.168128937,7.258813471,0.920587088
4.579467243,5.533420083,5.981873601,7.316141337,0.858853003
3.642372817,5.800525913,4.677721607,7.549602912,0.804611149
3.397841458,5.573108492,4.284615145,7.185069892,0.776391203
3.203442635,5.88233074,4.029432894,7.603152911,0.791505655
3.056651687,6.054120878,3.842988115,7.852725382,0.642559176
2.898319436,5.957182157,3.604877915,7.735308412,0.624135853
2.892188119,5.864742702,3.580168366,7.644912084,0.570413963
2.605098206,5.816886878,3.210872924,7.6444208,0.538944234
2.258137783,5.545703875,2.770144422,7.388952915,0.521619929
2.004950448,5.20703189,2.507773938,7.220933652,0.415771499
1.871864797,4.400436291,2.647944471,7.206686405,0.383439099
1.071186899,4.24214395,1.430437601,7.296100165,0.459543139
-0.508528955,3.732090851,-1.221121642,6.642200637,0.420592997
-1.975356438,3.348835234,-3.51102294,5.876779552,0.335507734
-2.486059098,3.036749818,-4.184919732,5.276921308,0.575188192
-2.572258205,2.538558419,-4.405059351,4.594036001,0.538436086
-2.779280328,2.221973736,-4.861062846,4.150897478,0.572611999
-3.015877041,2.255513716,-5.247879605,4.159249312,0.732749554
-3.216046515,2.401126309,-5.543046399,4.316951603,0.742156202
-3.650288042,2.373721691,-6.186842468,4.226555274,0.776911169
-4.207877245,2.003963871,-7.033256838,3.579042444,0.795109961
-4.901076759,1.711102589,-7.469941959,2.731085581,0.760343177
-5.636834828,1.46405201,-7.638865421,1.961242936,0.668403824
-5.631424842,1.135196604,-7.398508899,1.463080561,0.752413703
-5.276529774,1.139286845,-6.81221869,1.424269094,0.770163435
-3.774910624,1.047469844,-4.727872748,1.224877578,0.515817587
-2.880152058,1.137137376,-3.55005111,1.309618618,0.176882807
-2.279843921,1.330442382,-2.79590632,1.525952714,0.050235757
-1.905186051,1.734596041,-2.333875567,2.016472963,0.051181149
-2.051698311,2.032513168,-2.53055082,2.398622459,0.048545869
-1.878806715,2.307363648,-2.331645689,2.762031148,0.030370712
-1.776854146,2.469479947,-2.216583977,2.99384678,0.056865317
-1.989314745,2.614052598,-2.530104845,3.257847711,0.048782217
-1.826760998,2.507816066,-2.52653704,3.422440884,0.078632963
-1.183319081,1.727448629,-2.651410216,3.919072265,0.172853074
-1.137689959,2.149795701,-2.614840214,4.566852328,0.2204181
-0.883165013,2.030563874,-2.339227275,4.208332545,0.193970764
-1.133768706,1.965912284,-2.765579977,4.198147324,0.620850616
-2.312639852,1.992552638,-4.31133151,3.864072072,0.864478085
-3.008127487,1.417185973,-5.276868749,2.6907346,0.759846847
-2.792458589,1.165077259,-5.113195692,2.314288828,0.677018707
-2.373953985,1.108222845,-4.641353476,2.493956128,0.574550053
-2.348644082,0.54650124,-4.784065678,1.84128716,0.566998736
-2.859119885,0.544876828,-5.499856564,1.540212024,0.503409319
-3.184583857,1.025702725,-5.7206145,2.142769704,0.485955023
-3.361396705,1.25734385,-5.218445941,2.079213925,0.455265241
-3.533575345,1.10887261,-4.677031527,1.456693211,0.421302041
-3.173176577,0.911993898,-4.047313937,1.085136345,0.354675553
-3.156778611,1.598795214,-3.970606129,1.927250426,0.309544912
-3.399364191,0.174761128,-4.186125274,0.127659173,0.273809102
-2.359098995,0.547411709,-2.843220947,0.587682635,0.248236253
-1.397449261,1.135022835,-1.667233953,1.295263131,0.036468489
-0.827288642,1.815600474,-0.992944667,2.123497639,0
-0.627970654,2.484017937,-0.796237555,2.950290067,0.013270937
-0.439372956,2.970425011,-0.590546223,3.592496279,0.044929746
-0.334155293,3.67179263,-0.497394056,4.577917486,0.139953439
-0.510047462,4.119757854,-0.785361921,5.341739096,0.258351946
-0.716115262,4.280585999,-1.153714904,5.937798753,0.298826532
-0.135234353,3.774958001,-0.777323409,6.491076709,0.239432292
-0.685145535,3.645510957,-1.796322996,6.35744398,0.301509082
-2.050989915,3.987564964,-3.667404835,6.584811897,0.272603727
-2.491712956,3.656102079,-4.067439012,5.906553691,0.334266908
-2.577475277,3.021419301,-4.203620859,5.037940948,0.398317203
-2.712868572,2.482448882,-4.547385453,4.385159484,0.310218504
-2.8153069,2.245129302,-4.827787659,4.062614299,0.502274849
-2.888363693,2.121566214,-4.987139334,3.879470162,0.684215502
-3.030506799,1.963091652,-5.233496079,3.606917077,0.752366434
-3.228633644,1.829329706,-5.540378089,3.399257583,0.717753276
-3.433510301,1.410392001,-5.920552413,2.781086035,0.64354002
-3.929820032,1.15424376,-5.991480458,1.965349552,0.738232826
-4.222444249,1.335077357,-5.62501889,1.737981635,0.721629383
-3.975877575,1.759506755,-5.128995425,2.182142218,0.663641413
-3.514508049,2.128234698,-4.447140482,2.607075071,0.619042554
-3.595686983,1.649639465,-4.499215373,1.97730902,0.319447891
-3.010837074,2.065214856,-3.743159839,2.475651373,0.083194479
-2.558153612,2.531596025,-3.186379888,3.04854084,0.094621902
-2.330741708,3.105145633,-2.924210018,3.778183486,0.137755404
-2.174496352,3.626301783,-2.755388511,4.466467801,0.178466338
-2.272417243,4.015680444,-2.90765889,5.019443998,0.207714397
-2.455952027,4.211758995,-3.179759437,5.358990786,0.224176032
-2.903819707,4.054578618,-3.835846157,5.297208588,0.303352596
-3.283196272,3.264707531,-4.77661228,4.724319121,0.428333392
-2.978196777,1.924705125,-5.754452931,3.831796136,0.464849151
-3.192766597,1.444034831,-6.364196492,3.225717885,0.597712152
-3.152635085,1.768318588,-6.183458172,3.86958029,0.588813651
-3.159056127,2.041796568,-5.992789176,4.177980681,0.695229317
-2.969635387,1.572240037,-5.910033535,3.524927536,0.703666938
-2.72242527,1.239224036,-5.681627967,3.139427048,0.799257867
-2.574206217,1.051480808,-5.535978039,2.928550622,0.674950662
-2.625039466,0.978844422,-5.616747545,2.803454437,0.700334432
-2.831582984,0.880011306,-5.925260573,2.603811138,0.72799896
-3.236108631,0.814519482,-6.457544854,2.386296955,0.736814739
-3.571608076,0.685123515,-6.917004172,2.039091217,0.596613134
-4.307887559,0.75259994,-6.88323987,1.594361515,0.365275759
-4.908254987,0.895491192,-6.712432228,1.239496827,0.346285201
-5.021693396,0.625188574,-6.552217307,0.766684308,0.276208033
-4.592018668,0.341390671,-5.832574256,0.369440096,0.224979615
-3.370767169,-0.209687031,-4.146800537,-0.345080529,0.257205658
-2.557722927,0.344890651,-3.090546925,0.332296657,0.204051004
-2.201703041,0.767620207,-2.655060054,0.830913723,0.228524834
-2.275995584,0.942511535,-2.755354,1.0293487,0.117724915
-2.530176253,1.115137431,-3.084740434,1.242961422,0.05421822
-2.756810249,1.279154687,-3.388789449,1.460509116,0.026506423
-3.061493153,1.457670705,-3.821637006,1.716282245,0.000165444
-3.492222956,1.414174416,-4.487272091,1.716844383,0.021696742
-3.57194136,1.114684345,-5.377248897,1.566753339,0.057042578
-3.212999857,0.502564698,-6.502124682,1.07825477,0.103331324
-3.266006335,-0.094150014,-6.892215346,0.199631914,0.240235875
-3.331116654,-0.512801793,-7.054269249,-0.562628223,0.445752236
-3.258493606,-0.973590602,-7.013623807,-1.606519871,0.558726557
-3.080274976,-1.351011524,-6.68898814,-2.599256892,0.579123385
-2.793956521,-1.615613948,-6.118896235,-3.351960671,0.311790218
-2.621998498,-1.876138594,-5.606341384,-3.981556064,0.171718604
-2.546871207,-2.122617564,-5.207277051,-4.53807342,0.163068269
